time,activity,temp_without_drink_cycles,cow_id
2018-11-14 17:18:00,0.4873959061654636,39.69972222222223,9992
2018-11-14 17:28:00,0.48893842799881343,39.71378378378379,9992
2018-11-14 17:38:00,0.4873311519447754,39.72789473684211,9992
2018-11-14 17:48:00,0.49323340325217835,39.741282051282056,9992
2018-11-14 17:58:00,0.4909540163672813,39.75475000000001,9992
2018-11-14 18:08:00,0.48587669147939455,39.76756097560976,9992
2018-11-14 18:18:00,0.48298083646042794,39.77833333333334,9992
2018-11-14 18:28:00,0.47800639549257445,39.78720930232559,9992
2018-11-14 18:38:00,0.4744063155489172,39.79431818181819,9992
2018-11-14 18:48:00,0.4723766079495479,39.80111111111111,9992
2018-11-14 18:58:00,0.47222567370626073,39.80760869565218,9992
2018-11-14 19:08:00,0.475451870408595,39.81382978723404,9992
2018-11-14 19:18:00,0.47622030052277836,39.821041666666666,9992
2018-11-14 19:28:00,0.4768530028695692,39.82918367346939,9992
2018-11-14 19:38:00,0.47665703771992307,39.8394,9992
2018-11-14 19:48:00,0.4732471867116481,39.849930820818805,9992
2018-11-14 19:58:00,0.47002846868083387,39.86005661006765,9992
2018-11-14 20:08:00,0.4696910701563301,39.869800294061825,9992
2018-11-14 20:18:00,0.4759167249323709,39.87918310087103,9992
2018-11-14 20:28:00,0.4840934642188284,39.88822471470536,9992
2018-11-14 20:38:00,0.48578810047731935,39.89694341375989,9992
2018-11-14 20:48:00,0.4926075832678858,39.90489177492199,9992
2018-11-14 20:58:00,0.49109048131822747,39.91239364087162,9992
2018-11-14 21:08:00,0.4998158446727724,39.92025937342903,9992
2018-11-14 21:18:00,0.5025260962907644,39.9278629149012,9992
2018-11-14 21:28:00,0.5030155179784884,39.93521715993165,9992
2018-11-14 21:38:00,0.5024745433052386,39.94233417125145,9992
2018-11-14 21:48:00,0.5120455075142766,39.94922524570395,9992
2018-11-14 21:58:00,0.5201250524391338,39.95590097407981,9992
2018-11-14 22:08:00,0.5315099529100334,39.962371295428724,9992
2018-11-14 22:18:00,0.5345343651364057,39.96864554643373,9992
2018-11-14 22:28:00,0.5444903421739163,39.97473250636396,9992
2018-11-14 22:38:00,0.5543510119607057,39.98064043806094,9992
2018-11-14 22:48:00,0.5606905261325085,39.98637712536091,9992
2018-11-14 22:58:00,0.5652123136218244,39.991949907309454,9992
2018-11-14 23:08:00,0.5738551891954522,39.997365709484804,9992
2018-11-14 23:18:00,0.5819676411473462,40.002631072710834,9992
2018-11-14 23:28:00,0.5900229838891137,40.01119318190192,9992
2018-11-14 23:38:00,0.5992045931264853,40.018088624426355,9992
2018-11-14 23:48:00,0.6084009481433639,40.02456740028412,9992
2018-11-14 23:58:00,0.613058082534941,40.029796176141886,9992
2018-11-15 00:08:00,0.6680752676452512,40.035024951999645,9992
2018-11-15 00:18:00,0.680013203893977,40.04136483896852,9992
2018-11-15 00:28:00,0.6892304803818554,40.04881583704851,9992
2018-11-15 00:38:00,0.7144957348613222,40.057516835128496,9992
2018-11-15 00:48:00,0.7606111559308836,40.06732894431959,9992
2018-11-15 00:58:00,0.7815381800331642,40.078252164621794,9992
2018-11-15 01:08:00,0.8521736648287973,40.090425384924,9992
2018-11-15 01:18:00,0.8539888842885573,40.10370971633732,9992
2018-11-15 01:28:00,0.8654435216084866,40.11810515886175,9992
2018-11-15 01:38:00,0.8665464435625153,40.13333393471951,9992
2018-11-15 01:48:00,0.8645420009319258,40.14689604391061,9992
2018-11-15 01:58:00,0.8666021460857006,40.16004148643504,9992
2018-11-15 02:08:00,0.866389328917015,40.173186928959474,9992
2018-11-15 02:18:00,0.8795132231319593,40.187443482595015,9992
2018-11-15 02:28:00,0.8923517016899755,40.202950036230554,9992
2018-11-15 02:38:00,0.8990520790205225,40.21956770097721,9992
2018-11-15 02:48:00,0.8965012877102859,40.23729647683498,9992
2018-11-15 02:58:00,0.898297431650976,40.252525252692735,9992
2018-11-15 03:08:00,0.8996081382795944,40.26442069521717,9992
2018-11-15 03:18:00,0.8992323190502035,40.27339947107493,9992
2018-11-15 03:28:00,0.8969072640197508,40.2798782469327,9992
2018-11-15 03:38:00,0.9013333292136333,40.28552368945713,9992
2018-11-15 03:48:00,0.9164345638120508,40.29116913198156,9992
2018-11-15 03:58:00,0.9214607802546092,40.29723124117266,9992
2018-11-15 04:08:00,0.9227639862381521,40.30329335036376,9992
2018-11-15 04:18:00,0.923396131265412,40.30935545955485,9992
2018-11-15 04:28:00,0.9202781734865241,40.31541756874595,9992
2018-11-15 04:38:00,0.9148476151044775,40.32147967793705,9992
2018-11-15 04:48:00,0.9089147226109684,40.32754178712814,9992
2018-11-15 04:58:00,0.9039223654094827,40.33360389631924,9992
2018-11-15 05:08:00,0.8990697614555703,40.33799933884367,9992
2018-11-15 05:18:00,0.9001873325565732,40.34100589247922,9992
2018-11-15 05:28:00,0.9082546257960199,40.34317911278143,9992
2018-11-15 05:38:00,0.9154885857021332,40.344935666416966,9992
2018-11-15 05:48:00,0.9216114344971353,40.3457689997503,9992
2018-11-15 05:58:00,0.9139725456082465,40.34493566641696,9992
2018-11-15 06:08:00,0.9041114344971355,40.34299122197251,9992
2018-11-15 06:18:00,0.9106392122749133,40.34340788863918,9992
2018-11-15 06:28:00,0.9166114344971353,40.34641444227472,9992
2018-11-15 06:38:00,0.9154191412576888,40.3502543292436,9992
2018-11-15 06:48:00,0.9154308789415799,40.354094216212474,9992
2018-11-15 06:58:00,0.9154308789415799,40.35793410318135,9992
2018-11-15 07:08:00,0.9154308789415799,40.361773990150226,9992
