activity,temp_without_drink_cycles,time,cow_id
4.483694444444447,39.76194444444444,2018-08-15 16:27:00,10785
4.455821917808222,39.75297297297297,2018-08-15 16:37:00,10785
4.4342432432432455,39.746842105263156,2018-08-15 16:47:00,10785
4.414706666666669,39.74487179487179,2018-08-15 16:57:00,10785
4.405815789473686,39.745999999999995,2018-08-15 17:07:00,10785
4.407545454545456,39.74926829268293,2018-08-15 17:17:00,10785
4.404230769230771,39.75595238095238,2018-08-15 17:27:00,10785
4.392645569620255,39.76441860465116,2018-08-15 17:37:00,10785
4.388712500000001,39.772499999999994,2018-08-15 17:47:00,10785
4.391197530864198,39.77844444444444,2018-08-15 17:57:00,10785
4.410207317073171,39.78239130434782,2018-08-15 18:07:00,10785
4.401530120481929,39.78510638297872,2018-08-15 18:17:00,10785
4.444130952380953,39.791666666666664,2018-08-15 18:27:00,10785
4.447729411764707,39.799795918367344,2018-08-15 18:37:00,10785
4.442162790697675,39.8076,2018-08-15 18:47:00,10785
4.432471264367817,39.81372549019608,2018-08-15 18:57:00,10785
4.419250000000001,39.81961538461538,2018-08-15 19:07:00,10785
4.408123595505618,39.82716981132075,2018-08-15 19:17:00,10785
4.406133333333334,39.834999999999994,2018-08-15 19:27:00,10785
4.393538461538462,39.84363636363636,2018-08-15 19:37:00,10785
4.3685,39.85196428571428,2018-08-15 19:47:00,10785
4.344645161290322,39.85999999999999,2018-08-15 19:57:00,10785
4.319170212765957,39.86879310344827,2018-08-15 20:07:00,10785
4.333073684210525,39.87728813559321,2018-08-15 20:17:00,10785
4.311572916666666,39.885499999999986,2018-08-15 20:27:00,10785
4.2917525773195875,39.89344262295081,2018-08-15 20:37:00,10785
4.279285714285714,39.9016129032258,2018-08-15 20:47:00,10785
4.2627171717171715,39.90984126984126,2018-08-15 20:57:00,10785
4.2503899999999994,39.91656249999999,2018-08-15 21:07:00,10785
4.237900990099009,39.9216923076923,2018-08-15 21:17:00,10785
4.228901960784313,39.925454545454535,2018-08-15 21:27:00,10785
4.2194951456310665,39.927910447761185,2018-08-15 21:37:00,10785
4.206999999999999,39.93044117647058,2018-08-15 21:47:00,10785
4.203599999999999,39.934202898550716,2018-08-15 21:57:00,10785
4.200641509433962,39.93785714285714,2018-08-15 22:07:00,10785
4.183158878504672,39.94098591549295,2018-08-15 22:17:00,10785
4.161555555555555,39.94402777777777,2018-08-15 22:27:00,10785
4.154935779816513,39.95694444444443,2018-08-15 22:37:00,10785
4.146527272727272,39.9648611111111,2018-08-15 22:47:00,10785
4.133225225225225,39.97416666666665,2018-08-15 22:57:00,10785
4.149089285714285,39.9834722222222,2018-08-15 23:07:00,10785
4.133522123893805,39.990694444444415,2018-08-15 23:17:00,10785
4.125684210526315,39.997499999999974,2018-08-15 23:27:00,10785
4.151808695652174,40.00347222222219,2018-08-15 23:37:00,10785
4.169637931034483,40.010277777777745,2018-08-15 23:47:00,10785
4.171435897435897,40.01819444444441,2018-08-15 23:57:00,10785
4.154559322033898,40.0258333333333,2018-08-16 00:07:00,10785
4.137462184873949,40.03097222222219,2018-08-16 00:17:00,10785
4.134316666666667,40.03569444444441,2018-08-16 00:27:00,10785
4.139818181818182,40.040833333333296,2018-08-16 00:37:00,10785
4.1477704918032785,40.04597222222218,2018-08-16 00:47:00,10785
4.162178861788618,40.05111111111107,2018-08-16 00:57:00,10785
4.171354838709678,40.056249999999956,2018-08-16 01:07:00,10785
4.179176,40.06180555555551,2018-08-16 01:17:00,10785
4.1791825396825395,40.06652777777773,2018-08-16 01:27:00,10785
4.1637480314960635,40.07041666666661,2018-08-16 01:37:00,10785
4.1498125,40.07263888888884,2018-08-16 01:47:00,10785
4.146403100775195,40.07374999999995,2018-08-16 01:57:00,10785
4.133969230769231,40.07333333333328,2018-08-16 02:07:00,10785
4.116687022900764,40.072083333333275,2018-08-16 02:17:00,10785
4.100719696969698,40.07083333333328,2018-08-16 02:27:00,10785
4.085601503759399,40.06916666666662,2018-08-16 02:37:00,10785
4.071380597014926,40.067499999999946,2018-08-16 23:27:00,10785
4.087733333333333,40.06583333333327,2018-08-16 23:37:00,10785
4.105617647058824,40.065277777777716,2018-08-16 23:47:00,10785
4.110905109489051,40.06583333333327,2018-08-16 23:57:00,10785
4.110028985507247,40.06763888888882,2018-08-17 00:07:00,10785
4.100388489208633,40.070555555555494,2018-08-17 00:17:00,10785
4.098242857142857,40.074583333333266,2018-08-17 00:27:00,10785
4.106056737588653,40.08027777777771,2018-08-17 00:37:00,10785
4.103267605633803,40.0866666666666,2018-08-17 00:47:00,10785
4.098699300699302,40.0941666666666,2018-08-17 00:57:00,10785
4.087736111111112,40.10208333333327,2018-08-17 01:07:00,10785
4.063083333333334,40.107916666666604,2018-08-17 01:17:00,10785
4.066416666666667,40.11249999999993,2018-08-17 01:27:00,10785
4.060722222222222,40.1141666666666,2018-08-17 01:37:00,10785
4.047736111111111,40.11374999999994,2018-08-17 01:47:00,10785
4.034194444444444,40.112083333333274,2018-08-17 01:57:00,10785
4.026763888888889,40.107222222222155,2018-08-17 02:07:00,10785
4.022388888888888,40.10013888888883,2018-08-17 02:17:00,10785
4.013222222222222,40.093055555555495,2018-08-17 02:27:00,10785
4.023708333333333,40.08624999999994,2018-08-17 02:37:00,10785
4.031486111111111,40.079444444444384,2018-08-17 02:47:00,10785
3.998291666666667,40.072083333333275,2018-08-17 02:57:00,10785
3.975513888888889,40.061944444444386,2018-08-17 03:07:00,10785
3.963291666666667,40.05013888888883,2018-08-17 03:17:00,10785
